URN,LAESTAB,School name,Ofsted phase,Type of education,Sixth form,Designated religious character,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,The income deprivation affecting children index (IDACI) quintile,Total pupils,Inspection date,Overall effectiveness,16 to 19 study programmes,Early years provision (where applicable),Outcomes for children and learners,"Quality of teaching, learning and assessment","Personal development, behaviour and welfare",Effectiveness of leadership and management,Previous full inspection date,Previous full inspection overall effectiveness,Previous 16 to 19 study programmes,Previous early years provision (where applicable),Previous outcomes for children and learners,"Previous quality of teaching, learning and assessment","Previous personal development, behaviour and welfare",Previous effectiveness of leadership and management
132180,3802200,Thorpe Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD10 9PY,4,213,10/06/2015,2,9,2,2,2,9,2,28/09/2011,2,9,2,2,2,9,2
132182,3802199,Lower Fields Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD4 8RG,5,469,26/06/2014,2,9,9,2,2,9,2,17/11/2009,2,9,3,2,2,9,2
132183,3802198,Knowleswood Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford South,BD4 9AE,5,465,10/11/2016,3,9,2,3,2,2,2,17/12/2014,3,9,3,3,3,9,3
132184,3802196,Holybrook Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD10 0EF,5,230,19/10/2016,4,9,3,4,4,3,4,11/06/2014,3,9,9,3,3,9,3
132185,3802197,Newhall Park Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford South,BD4 6AF,5,445,19/10/2016,2,9,2,2,2,2,2,01/10/2014,3,9,2,3,3,9,3
132217,3804112,Parkside School,Secondary,Foundation School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Shipley,BD13 5AD,2,971,06/10/2016,2,2,9,2,2,2,2,27/11/2014,3,3,9,3,3,9,3
132221,3802203,Burley Oaks Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Shipley,LS29 7EJ,1,430,02/11/2007,1,9,1,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132241,3522341,Benchill Primary School,Primary,Foundation School,Does not have a sixth form,None,North West,North West,Manchester,Wythenshawe and Sale East,M22 8EJ,5,528,05/03/2015,2,9,2,2,2,9,2,24/02/2012,2,9,8,2,2,9,1
132785,3502086,St Catherine's CofE Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,North West,North West,Bolton,Bolton West,BL6 5SJ,3,242,15/05/2014,2,9,9,2,2,9,2,28/01/2009,2,9,2,2,2,9,2
132795,3832512,Asquith Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,LS27 9QY,3,375,08/05/2015,2,9,2,2,2,9,2,06/05/2011,2,9,1,2,2,9,2
132815,3801012,Canterbury Nursery School and Centre for Children and Families,Nursery,LA Nursery School,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD5 9HL,NULL,167,19/05/2016,1,9,9,1,1,1,1,02/04/2014,3,9,9,3,3,9,3
132905,3527061,North Ridge High School,Special,Community Special School,Has a sixth form,Does not apply,North West,North West,Manchester,Blackley and Broughton,M9 0RP,5,147,30/04/2014,1,9,9,1,1,9,1,10/05/2011,2,2,9,2,2,9,2
133286,3532110,Crompton Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham East and Saddleworth,OL2 7HD,3,236,07/12/2011,1,9,1,1,1,9,1,23/05/2007,2,9,2,2,2,9,2
133409,3541100,Rochdale Pupil Referral Service,PRU,Pupil Referral Unit,Not applicable,Does not apply,North West,North West,Rochdale,Rochdale,OL16 2XW,NULL,107,15/11/2013,2,9,9,2,2,9,2,22/06/2011,2,9,9,2,2,9,2
133410,3801103,Primary Pupil Referral Unit,PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD5 8DB,NULL,51,11/06/2015,2,9,9,2,2,9,2,11/01/2012,2,9,9,2,2,9,1
133411,3801104,Bradford Central PRU,PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Shipley,BD18 3JE,NULL,8,12/02/2015,1,9,9,1,1,9,1,03/05/2012,2,9,9,2,2,9,2
133446,3543513,Bowlee Park Community Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Rochdale,Heywood and Middleton,M24 4LA,5,694,10/03/2010,1,9,1,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133555,3832513,Otley All Saints CofE Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS21 1DF,1,256,11/10/2012,2,9,9,2,2,9,2,29/04/2008,2,9,2,2,2,9,2
133671,3812095,Sowerby Village CofE VC Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Calder Valley,HX6 1HB,4,171,07/05/2015,2,9,2,2,2,9,2,01/05/2013,3,9,9,3,3,9,2
133673,3821101,Ethos College,PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 9NY,NULL,4,14/02/2017,1,9,9,1,1,1,1,14/12/2012,2,9,9,2,2,9,2
133693,3811101,Calderdale PRU,PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Halifax,HX2 9SR,NULL,55,18/12/2013,2,9,9,2,2,9,2,28/01/2011,2,9,9,2,2,9,2
133710,3532111,Medlock Valley Community School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham West and Royton,OL8 2PN,5,340,05/02/2014,2,9,9,2,2,9,2,09/06/2011,2,9,1,2,2,9,2
133711,3532112,Clarksfield Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham East and Saddleworth,OL4 1NG,4,473,18/05/2017,4,9,4,4,4,4,4,05/06/2014,2,9,9,2,2,9,2
133712,3532113,Yew Tree Community School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham West and Royton,OL9 8LD,5,585,06/06/2013,2,9,9,1,2,9,2,20/05/2008,1,9,2,1,1,9,1
133752,3801105,Education In Hospital 2 (BRI),PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Shipley,BD18 2LU,NULL,0,29/06/2016,2,9,9,2,2,2,2,06/11/2013,3,9,9,3,3,9,3
133753,3801106,Education In Hospital 1 (Airedale),PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Shipley,BD18 2LU,NULL,0,23/09/2015,3,9,9,3,3,2,3,18/09/2013,4,9,9,4,4,9,4
133770,3522010,Ashbury Meadow Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Manchester,Manchester Central,M11 3NA,5,390,01/07/2015,1,9,1,1,1,9,1,15/11/2011,2,9,2,2,2,9,2
133925,3502084,Queensbridge Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton South East,BL4 7BL,5,243,18/12/2013,2,9,9,2,2,9,2,16/12/2011,2,9,2,2,2,9,2
133926,3502085,The Gates Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton West,BL5 3QA,2,335,27/09/2013,2,9,9,2,2,9,2,28/09/2011,3,9,3,3,3,9,3
133945,3521102,Bridgelea Pupil Referral Unit,PRU,Pupil Referral Unit,Not applicable,Does not apply,North West,North West,Manchester,"Manchester, Withington",M20 3FB,NULL,52,09/07/2014,2,9,9,2,2,9,2,30/01/2013,3,9,9,3,3,9,2
133980,3503370,The Valley Community Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton North East,BL1 8JG,4,523,26/11/2008,1,9,1,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134053,3802002,Lister Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford West,BD9 5AT,4,442,10/06/2015,3,9,2,3,3,9,2,14/12/2011,2,9,2,2,2,9,2
134220,3542001,Broadfield Community Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Rochdale,Rochdale,OL16 1QT,5,444,04/06/2015,2,9,2,2,2,9,2,07/12/2011,2,9,2,2,2,9,2
134224,3526905,Manchester Academy,Secondary,Academy Sponsor Led,Not applicable,Christian,North West,North West,Manchester,Manchester Central,M14 4PX,5,983,21/09/2016,3,9,9,3,3,3,3,25/01/2012,2,9,9,2,2,9,2
134237,3503371,SS Osmund and Andrew's R.C. Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,North West,North West,Bolton,Bolton North East,BL2 6NW,4,409,12/10/2011,2,9,2,2,2,9,2,29/04/2009,2,9,2,2,2,9,2
134317,3832002,Rufford Park Primary School ,Primary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North West,LS19 7QR,3,301,10/01/2012,2,9,8,2,2,9,2,19/05/2009,3,9,3,3,3,9,3
134319,3833916,Methley Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS26 9HT,1,478,14/06/2017,4,9,3,4,4,3,3,13/11/2013,1,9,9,1,1,9,1
134405,3833917,Strawberry Fields Primary School,Primary,Foundation School,Does not have a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS25 1LL,2,338,21/01/2015,2,9,2,2,2,9,2,13/03/2013,3,9,9,3,3,9,3
134406,3833918,Blackgates Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,WF3 1QQ,4,445,17/07/2013,2,9,9,2,2,9,2,04/03/2010,2,9,2,2,2,9,2
134407,3833921,Drighlington Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,BD11 1JY,3,459,09/02/2017,3,9,3,3,3,2,3,14/02/2013,2,9,9,2,2,9,2
134408,3833920,Pudsey Waterloo Primary,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS28 7SR,3,472,27/03/2013,2,9,9,2,2,9,2,11/12/2009,3,9,2,3,3,9,3
134479,3523505,Sacred Heart RC Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,North West,North West,Manchester,"Manchester, Gorton",M18 7NJ,5,285,01/10/2014,1,9,1,1,1,9,1,13/10/2009,2,9,2,2,2,9,2
134513,3833922,Hollybush Primary,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West,LS13 2JJ,5,490,25/10/2012,2,9,9,2,2,9,2,22/01/2010,3,9,3,3,3,9,3
134516,3833923,Meadowfield Primary School,Primary,Foundation School,Does not have a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds East,LS9 0JY,5,484,20/03/2013,2,9,9,2,2,9,2,17/06/2010,3,9,3,3,3,9,2
134646,3504805,Ladybridge High School,Secondary,Community School,Does not have a sixth form,Does not apply,North West,North West,Bolton,Bolton West,BL3 4NG,4,901,10/01/2013,2,9,9,2,2,9,1,10/12/2009,3,9,9,3,3,9,2
134659,3813332,Moorside Community Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Halifax,HX2 8AP,5,261,14/11/2012,2,9,9,2,2,9,2,16/09/2010,3,9,3,3,3,9,2
134759,3531100,Kingsland School,PRU,Pupil Referral Unit,Not applicable,Does not apply,North West,North West,Oldham,Oldham East and Saddleworth,OL1 4HX,NULL,73,04/02/2015,2,9,9,2,2,9,2,20/09/2011,2,9,9,2,2,9,1
134784,3533504,Higher Failsworth Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Ashton-under-Lyne,M35 9EA,4,444,06/06/2013,2,9,9,2,2,9,2,12/03/2010,2,9,2,2,2,9,2
134884,3837074,West Specialist Inclusive Learning Centre,Special,Community Special School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West,LS28 6HL,4,200,04/07/2013,2,9,9,2,2,9,1,04/12/2009,2,3,2,2,2,9,2
134885,3837073,North West Specialist Inclusive Learning Centre,Special,Community Special School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North East,LS6 4QD,4,167,12/05/2016,4,4,4,4,4,4,4,26/06/2013,2,9,9,2,2,9,2
134913,3833925,Great Preston VC CofE Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS26 8AR,3,222,01/05/2014,2,9,9,2,2,9,2,17/01/2013,4,9,9,4,4,9,3
134966,3543511,Sandbrook Community Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Rochdale,Rochdale,OL11 2LR,5,581,14/06/2013,2,9,9,2,2,9,2,19/05/2010,1,9,2,2,2,9,1
134973,3833926,Fountain Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,LS27 0AW,3,463,07/11/2013,2,9,9,2,2,9,2,15/07/2011,3,9,2,3,3,9,2
135017,3543512,Woodland Community Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Rochdale,Heywood and Middleton,OL10 3BX,5,470,23/04/2015,2,9,2,2,2,9,2,25/04/2013,3,9,9,3,3,9,2
135030,3823410,Moorlands Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD3 3UH,2,629,29/01/2015,2,9,2,2,2,9,2,14/07/2010,2,9,3,2,2,9,2
135098,3823411,Hillside Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD4 6LU,5,344,15/03/2013,2,9,9,2,2,9,2,06/07/2011,3,9,2,3,3,9,3
135162,3833930,Mill Field Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North East,LS7 2DR,5,433,01/04/2015,2,9,2,2,2,9,1,22/03/2012,2,9,8,2,2,9,2
135200,3547013,Springside ,Special,Community Special School,Not applicable,Does not apply,North West,North West,Rochdale,Rochdale,OL16 2SU,5,98,14/09/2016,2,9,2,2,2,2,2,25/09/2014,3,9,2,3,3,9,3
135201,3547014,Newlands School,Special,Community Special School,Not applicable,Does not apply,North West,North West,Rochdale,Heywood and Middleton,M24 6JG,5,94,20/11/2014,2,9,2,2,2,9,2,23/02/2012,2,9,8,2,2,9,2
135202,3547015,Redwood,Special,Community Special School,Has a sixth form,Does not apply,North West,North West,Rochdale,Rochdale,OL11 5EF,4,255,08/12/2016,2,2,9,2,2,1,2,13/11/2014,3,2,9,3,3,9,3
135210,3833931,Allerton CofE Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds North East,LS17 7HL,4,535,29/02/2012,2,9,8,2,2,9,2,30/04/2009,3,9,2,3,3,9,3
135228,3807031,Chellow Heights Special School,Special,Community Special School,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford West,BD9 6AL,4,200,14/11/2013,2,9,9,2,2,9,2,25/05/2011,2,9,9,2,2,9,1
135229,3807032,Beechcliffe Special School,Special,Community Special School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Keighley,BD20 6ED,3,114,09/05/2013,2,9,9,2,2,9,2,19/05/2011,3,3,9,3,3,9,3
135235,3807035,Delius Special School,Special,Community Special School,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD3 8QX,5,124,19/06/2013,2,9,9,2,2,9,2,12/05/2011,3,9,2,3,3,9,3
135258,3533506,Bare Trees Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham West and Royton,OL9 0DX,5,640,06/07/2012,1,9,8,1,1,9,1,26/03/2009,2,9,2,2,2,9,2
135279,3523506,Park View Community Primary ,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Manchester,Manchester Central,M40 7EJ,5,431,16/10/2013,2,9,9,2,2,9,2,20/04/2012,3,9,8,3,3,9,2
135296,3526907,William Hulme's Grammar School,Secondary,Academy Sponsor Led,Has a sixth form,Christian,North West,North West,Manchester,"Manchester, Gorton",M16 8PR,5,1302,24/04/2014,2,9,9,2,2,9,2,21/10/2009,2,3,2,2,2,9,2
135313,3546905,St Anne's Church of England Academy,Secondary,Academy Sponsor Led,Has a sixth form,Church of England,North West,North West,Rochdale,Heywood and Middleton,M24 6XN,5,692,18/11/2015,3,3,9,3,3,2,2,09/05/2013,2,9,9,2,2,9,2
135341,3533507,Royton Hall Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham West and Royton,OL2 6RW,4,346,20/11/2013,2,9,9,2,2,9,2,29/09/2011,3,9,3,3,3,9,3
135367,3806906,Bradford Academy,Secondary,Academy Sponsor Led,Has a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD4 7QJ,5,2084,30/01/2013,2,9,9,2,2,9,2,04/02/2010,3,2,9,3,2,9,2
135648,3523507,The Divine Mercy Roman Catholic Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,North West,North West,Manchester,Manchester Central,M14 7SH,5,460,22/06/2017,2,9,1,2,2,2,2,20/09/2012,2,9,9,2,2,9,2
135720,3533393,Holy Cross CofE Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,North West,North West,Oldham,Oldham East and Saddleworth,OL1 3EZ,5,469,02/12/2015,2,9,2,2,2,2,2,18/12/2013,3,9,9,3,3,9,3
135732,3801110,Bradford District PRU,PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford East,BD4 7SY,NULL,134,08/03/2017,4,9,9,4,4,4,4,24/01/2013,2,9,9,2,2,9,2
135770,3506905,Essa Academy,Secondary,Academy Sponsor Led,Not applicable,None,North West,North West,Bolton,Bolton South East,BL3 3HH,5,864,16/01/2014,2,9,9,2,2,9,2,23/06/2011,2,9,9,2,2,9,1
135795,3545402,Kingsway Park High School,Secondary,Foundation School,Does not have a sixth form,None,North West,North West,Rochdale,Rochdale,OL16 4XA,5,1072,25/09/2013,2,9,9,2,2,9,2,04/10/2011,3,9,9,3,3,9,2
135862,3815208,Walsden St Peter's CE (VC) Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Calder Valley,OL14 6RN,3,173,12/02/2014,2,9,9,2,2,9,2,06/04/2011,2,9,1,2,2,9,2
135866,3806908,Dixons Allerton Academy,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Bradford West,BD8 0DH,4,1698,11/11/2016,3,3,2,3,3,2,3,13/11/2014,3,3,2,3,3,9,2
135874,3526908,Manchester Enterprise Academy,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,North West,North West,Manchester,Wythenshawe and Sale East,M22 9RH,5,794,12/03/2015,2,2,9,2,2,9,2,13/03/2013,3,9,9,3,2,9,2
135875,3526909,Manchester Health Academy,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,North West,North West,Manchester,Wythenshawe and Sale East,M23 9BP,5,676,29/04/2015,2,2,9,2,2,9,2,07/11/2013,4,9,9,4,4,9,3
135935,3836906,Leeds West Academy,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds West,LS13 1DQ,5,1360,01/03/2017,3,3,9,3,3,3,3,21/03/2012,2,9,9,2,2,9,1
135969,3836907,South Leeds Academy,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds Central,LS10 2JU,5,901,14/12/2016,4,3,9,4,4,4,3,05/11/2014,3,2,9,3,3,9,3
135981,3506906,Bolton St Catherine's Academy,Secondary,Academy Sponsor Led,Has a sixth form,Church of England,North West,North West,Bolton,Bolton North East,BL2 4HU,5,1130,12/05/2016,3,2,2,3,3,3,3,06/03/2014,3,9,9,3,3,9,3
136027,3536905,Oasis Academy Oldham,Secondary,Academy Sponsor Led,Not applicable,Christian,North West,North West,Oldham,Oldham West and Royton,OL8 4JZ,5,1290,05/05/2016,3,9,9,3,3,3,2,08/05/2014,3,9,9,3,3,9,2
136094,3816905,"Trinity Academy, Halifax",Secondary,Academy Sponsor Led,Has a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Halifax,HX2 9TZ,5,1736,10/07/2013,1,9,9,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136105,3526913,Manchester Communication Academy,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,North West,North West,Manchester,Blackley and Broughton,M40 8NT,5,1112,28/09/2016,3,9,9,3,3,2,3,20/09/2012,2,9,9,2,2,9,2
136109,3823049,St Thomas CE (VC) Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD2 1RQ,5,449,21/03/2014,2,9,9,2,2,9,2,11/10/2011,3,9,2,3,3,9,2
136115,3536906,The Oldham Academy North,Secondary,Academy Sponsor Led,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham West and Royton,OL2 5BF,5,902,25/05/2016,2,9,9,2,2,2,2,14/05/2014,3,9,9,3,3,9,3
136135,3506907,Kearsley Academy,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,North West,North West,Bolton,Bolton South East,BL4 8HY,4,558,07/05/2015,2,2,9,2,2,9,2,10/05/2013,3,9,9,3,3,9,3
136140,3821102,Primary Pupil Referral Service,PRU,Pupil Referral Unit,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 5LP,NULL,3,13/03/2014,2,9,9,2,2,9,2,23/06/2011,2,9,9,2,2,9,2
136174,3526914,The Co-operative Academy of Manchester,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,North West,North West,Manchester,Blackley and Broughton,M9 0WQ,5,908,06/11/2014,2,2,9,2,2,9,1,06/02/2013,3,9,9,3,2,9,2
136198,3806909,University Academy Keighley,Secondary,Academy Sponsor Led,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Bradford,Keighley,BD20 6EB,4,690,20/04/2016,4,3,9,4,3,3,3,21/05/2014,3,9,9,3,3,9,2
136223,3533509,Hodge Clough Primary School,Primary,Community School,Does not have a sixth form,Does not apply,North West,North West,Oldham,Oldham East and Saddleworth,OL1 4JX,4,445,21/05/2015,2,9,2,2,2,9,2,11/05/2012,2,9,8,2,2,9,2
136283,3825401,Heckmondwike Grammar School,Secondary,Academy Converter,Has a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF16 0AH,3,1489,09/11/2007,1,1,9,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136326,3832396,Green Lane Primary Academy,Primary,Academy Converter,Not applicable,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS25 2JX,1,461,05/06/2009,1,9,2,1,1,9,1,06/07/2006,2,9,1,2,2,9,2
136343,3834112,Garforth Academy,Secondary,Academy Converter,Has a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS25 1LJ,1,1925,06/12/2013,1,9,9,1,1,9,1,05/07/2007,1,2,9,1,2,9,1
136375,3812049,The Greetland Academy,Primary,Academy Converter,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Calder Valley,HX4 8JB,2,417,31/01/2007,1,9,1,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136392,3834101,The Morley Academy,Secondary,Academy Converter,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,LS27 0PD,3,1460,02/05/2013,1,9,9,1,1,9,1,05/03/2009,1,2,9,1,1,9,1
136395,3502018,Lever Edge Primary Academy,Primary,Academy Converter,Not applicable,Does not apply,North West,North West,Bolton,Bolton South East,BL3 3HP,5,538,20/09/2007,1,9,2,2,2,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136432,3534608,Blessed John Henry Newman Roman Catholic College,Secondary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,North West,North West,Oldham,Oldham West and Royton,OL9 9QY,5,1479,12/05/2016,2,9,9,2,2,2,2,15/05/2014,3,9,9,3,3,9,2
136502,3824801,North Huddersfield Trust School,Secondary,Foundation School,Does not have a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD2 1DJ,5,617,26/04/2017,2,9,9,2,2,2,2,26/03/2015,3,9,9,3,3,9,2
136511,3823412,Whitechapel Church of England Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,BD19 6HR,3,418,01/03/2013,2,9,9,2,2,9,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136547,3812031,Whitehill Community Academy,Primary,Academy Converter,Not applicable,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Halifax,HX2 9RL,4,665,26/06/2008,1,9,2,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136604,3815406,Brighouse High School,Secondary,Academy Converter,Has a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Calderdale,Calder Valley,HD6 2NY,2,1401,17/05/2012,2,9,9,2,2,9,2,14/11/2007,1,2,9,2,2,9,1
136674,3824040,The Mirfield Free Grammar and Sixth Form,Secondary,Academy Converter,Has a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF14 9EZ,2,1554,29/05/2012,1,9,9,1,1,9,1,07/02/2008,1,2,9,2,2,9,1
